# 40000 	-900440.000000	
 41000 	 50209.000000	
 42000 	 67591.000000	
 43000 	 83356.000000	
 44000 	 58333.000000	
 45000 	 60531.000000	
 46000 	 63948.000000	
 47000 	 71368.000000	
 48000 	 95295.000000	
 49000 	 93226.000000	
 50000 	 112903.000000	
 51000 	 91304.000000	
 52000 	 81629.000000	
 #53000  -916227.000000	
 54000   88275.000000	
 55000 	 89429.000000	
 56000 	 111081.000000	
 57000 	 111531.000000	
 58000 	 103732.000000	
 59000 	 105373.000000	
 60000 	 118111.000000	
 61000 	 111938.000000	
# 62000 	-862090.000000	
 63000 	 119809.000000	
 64000 	 121524.000000	
 65000 	 156275.000000	
 66000 	 166914.000000	
 67000 	 141192.000000	
 68000 	 144797.000000	
# 69000 	 -824099.000000	
 70000 	 155248.000000	
 71000 	 162362.000000	
 72000 	 159623.000000	
 73000 	 192474.000000	
 #74000 	 -837324.000000	
 75000 	 166493.000000	
 76000 	 201162.000000	
 77000 	 201766.000000	
 78000 	 184245.000000	
# 79000 	-788001.000000	
 80000 	 194822.000000	
 81000 	 194352.000000	
 82000 	 235529.000000	
 83000 	 214806.000000	
 #84000 	-786014.000000	
 85000 	 251201.000000	
 86000 	 234431.000000	
 87000 	 270665.000000	
# 88000 	-755352.000000	
 89000 	 257534.000000	
 90000 	 253140.000000	
